"","beta","HR","HR_95%CI_lower","HR_95%CI_upper","beta_se","beta_z","Pvalue_beta"
"PDL1_CD8_Percent",-0.011990705265137,0.988080896769208,0.891454626509921,1.09518065140624,0.0525060838827048,-0.228367921933074,0.819360225178065
"CTLA4_Treg_Percent",-13.4572542264656,1.43083234087516e-06,1.2077563027314e-18,1695111.16030962,14.184195895283,-0.948749885140889,0.342747835792117
"Endo_Percent",0.097257963180489,1.10214464969225,0.97653074671067,1.24391662314464,0.0617394026876018,1.57529809079316,0.115187654474929
"LAG3_Treg_CD4_Percent",0.145170506489358,1.15623669932212,1.00191303249216,1.33433068689998,0.073092823461811,1.98611162647459,0.0470209305866826
"TFH_CD4_Percent",0.0107960044139423,1.01085449155592,0.970453478633021,1.0529374417186,0.0208104933156051,0.518776957865133,0.603916288061229
