"","beta","HR","HR_95%CI_lower","HR_95%CI_upper","beta_se","beta_z","Pvalue_beta"
"Mac_Percent",0.119805718869859,1.12727782149422,1.02036761223026,1.24538967289956,0.0508390731372157,2.35656772393354,0.0184447040113043
"LAG3_CD4_Percent",0.315419670197614,1.37083448863683,1.04624645878243,1.79612287282971,0.137865141497229,2.28788558711888,0.0221441848611312
"PD1_CD4_Percent",0.131402218800835,1.14042639001032,1.01302552607001,1.28384953543815,0.0604402919117525,2.17408312641329,0.0296988929377341
"CXCR5_HRS_Percent",1.68146574021881,5.37342624878733,2.28610696478502,12.6300781616629,0.436036269766906,3.85625200655367,0.000115138791276451
"CXCR5_B_Percent",-0.545485506519511,0.579560334701853,0.329354354789008,1.01984436117416,0.288339754988692,-1.89181511422489,0.0585156187998343
"TIM3_Mac_Percent",-8.01415110235976,0.000330748892852428,2.04123158663285e-08,5.35925618824862,4.94548694436262,-1.62049787867606,0.105125369643508
"PDL1CD80_Mac_Myel_Percent",0.169176597573974,1.18432927013329,0.977383296537348,1.43509289043886,0.0979880156322331,1.72650294510427,0.0842569699386416
