"","Estimate","Std. Error","z value","Pr(>|z|)","Odds_ratio","2.5 %","97.5 %"
"(Intercept)",-2.2239978063029,1.01842331234342,-2.18376561037808,0.0289794758091635,0.108175777409818,0.01469760359093,0.796184136129505
"Mac_Percent",0.354878220569627,0.194844683610916,1.82133899674821,0.0685553420222816,1.42600698538866,0.973351175184547,2.08916984354768
"PD1_CD4_Percent",0.600286198584541,0.324415820808208,1.850360432759,0.0642616178253748,1.8226403628437,0.965067601996385,3.44226444385341
"TIM3_CD4_Percent",-0.117540593808405,0.262438447032946,-0.447878712655427,0.654240732270314,0.889104418879447,0.531575256717707,1.48710207572878
"CXCR5_HRS_Percent",4.89778613921147,2.5164546760849,1.94630413404919,0.0516182173026004,133.992809653836,0.966209693179091,18581.9632794775
"CXCR5_B_Percent",-0.532143082066262,0.392099443298561,-1.35716357460132,0.17472924177917,0.587344891631331,0.272356374661337,1.26662730826249
"TIM3_Mac_Percent",-17.5117601993454,13.7597312092811,-1.27268185206507,0.203130959995934,2.48164226490354e-08,4.81320919231053e-20,12795.097999884
