"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.65610545932952,2.06149202528239,2.25860949362233,0.0295762285313644
"pDC_Percent",0.336518034131171,0.366459218651947,0.918295998580914,0.364108514731405
"Mac_Percent",-0.136923267967045,0.114535002723365,-1.19547094522497,0.239121778535993
"B_Percent",0.0556879617875977,0.0436690962548247,1.27522588199762,0.209773745237967
"CD4_Percent",-0.061449806522098,0.0575200613890189,-1.06831955735411,0.291944632664093
"Foxp3_CD8_Percent",0.171908549462537,0.138367035465206,1.24240971763657,0.221504298975163
"LAG3_CD4_Percent",-0.599555225118371,0.355840412457371,-1.6848991967437,0.0999953181039707
"CXCR5_HRS_Percent",-1.12308273900732,1.15367368448052,-0.97348388380119,0.336312448340522
"CXCR5_B_Percent",0.297815523844054,0.243054540381514,1.22530327298797,0.227809628152938
"Galectin9_pDC_Percent",3.24404612846935,2.4876410495234,1.30406520228908,0.199855924943449
