"","beta","HR","HR_95%CI_lower","HR_95%CI_upper","beta_se","beta_z","Pvalue_beta"
"PDL1_CD8_Percent",-0.00270347094164148,0.997300180144981,0.898699653094717,1.10671863051491,0.0531147103749223,-0.05089872320791,0.959406222925352
"CTLA4_Treg_Percent",-11.4827683502289,1.03061644627011e-05,6.79285691385747e-18,15636576.3741556,14.3104117926033,-0.802406563601764,0.422317817566665
"Endo_Percent",0.0893747473115436,1.09349036212687,0.969022672345763,1.23394550632113,0.061655223236843,1.44958922568845,0.147173102326721
"LAG3_Treg_CD4_Percent",0.131081032773492,1.14006015980579,0.982559052061745,1.32280819687033,0.0758564275218711,1.72801484403808,0.0839855631111602
"TFH_CD4_Percent",0.0103517461363371,1.01040551081968,0.961442099856535,1.06186248391568,0.0253436700126161,0.408454897462917,0.682939736733264
